"business","count","execute_ns","undo_ns","redo_ns","clear_ns","close_ns","checksum","applies","notices","operations_destroyed","plans_destroyed","metadata_bytes","retained_bytes","staging_bytes","process"
"text256","1000","329200","172100","213600","46000","100","24832","3000","3002","1000","3000","1605200","224000","600","1000-1"
"records64","1000","2406400","2320500","2134900","24300","200","6240","3000","3002","1000","3000","1605200","152000","8368","1000-1"
"create_delete64","1000","2483100","2185500","2190400","32000","200","6240","3000","3002","1000","3000","1605200","152000","8496","1000-1"
"create_delete1024","1000","31945400","32249800","31250300","42400","100","1574400","3000","3002","1000","3000","1605200","152000","131376","1000-1"
"text256","1000","326900","184700","115200","42500","100","24832","3000","3002","1000","3000","1605200","224000","600","1000-2"
"records64","1000","2252100","2133200","2186100","32300","100","6240","3000","3002","1000","3000","1605200","152000","8368","1000-2"
"create_delete64","1000","2302200","2173000","2186700","32200","100","6240","3000","3002","1000","3000","1605200","152000","8496","1000-2"
"create_delete1024","1000","31570300","31741900","31096800","32300","100","1574400","3000","3002","1000","3000","1605200","152000","131376","1000-2"
"text256","1000","328700","165500","112300","44300","200","24832","3000","3002","1000","3000","1605200","224000","600","1000-3"
"records64","1000","2227100","2113400","2194000","23200","200","6240","3000","3002","1000","3000","1605200","152000","8368","1000-3"
"create_delete64","1000","2329400","2217000","2222200","29700","300","6240","3000","3002","1000","3000","1605200","152000","8496","1000-3"
"create_delete1024","1000","31370900","31449600","31145200","24900","100","1574400","3000","3002","1000","3000","1605200","152000","131376","1000-3"
"text256","1000","325700","166900","112500","40900","100","24832","3000","3002","1000","3000","1605200","224000","600","1000-4"
"records64","1000","2246200","2147300","2116300","21100","100","6240","3000","3002","1000","3000","1605200","152000","8368","1000-4"
"create_delete64","1000","2369100","2197000","2198100","30800","0","6240","3000","3002","1000","3000","1605200","152000","8496","1000-4"
"create_delete1024","1000","31159900","31351000","31331400","25400","300","1574400","3000","3002","1000","3000","1605200","152000","131376","1000-4"
"text256","1000","255100","114500","112700","43500","200","24832","3000","3002","1000","3000","1605200","224000","600","1000-5"
"records64","1000","2257500","2160800","2150200","22100","100","6240","3000","3002","1000","3000","1605200","152000","8368","1000-5"
"create_delete64","1000","2308700","2215900","2183500","29300","100","6240","3000","3002","1000","3000","1605200","152000","8496","1000-5"
"create_delete1024","1000","31395200","31108300","30833000","46900","200","1574400","3000","3002","1000","3000","1605200","152000","131376","1000-5"
"text256","10000","2437000","1163900","1127100","459700","500","24832","30000","30002","10000","30000","1605200","2240000","600","10000-1"
"records64","10000","23121600","21643800","22441700","322700","400","6240","30000","30002","10000","30000","1605200","1520000","8368","10000-1"
"create_delete64","1000","2334000","2184000","2228600","21300","100","6240","3000","3002","1000","3000","1605200","152000","8496","10000-1"
"create_delete1024","1000","30982300","32184300","30743900","28000","200","1574400","3000","3002","1000","3000","1605200","152000","131376","10000-1"
"text256","10000","2385200","1159300","1147700","414600","200","24832","30000","30002","10000","30000","1605200","2240000","600","10000-2"
"records64","10000","22582600","22160800","22008200","395400","500","6240","30000","30002","10000","30000","1605200","1520000","8368","10000-2"
"create_delete64","1000","2530000","2251100","2453500","26000","100","6240","3000","3002","1000","3000","1605200","152000","8496","10000-2"
"create_delete1024","1000","31300400","30700600","30802100","31400","300","1574400","3000","3002","1000","3000","1605200","152000","131376","10000-2"
"text256","10000","2336900","1205400","1197600","485300","200","24832","30000","30002","10000","30000","1605200","2240000","600","10000-3"
"records64","10000","22596400","22033200","22410300","325800","200","6240","30000","30002","10000","30000","1605200","1520000","8368","10000-3"
"create_delete64","1000","2326400","2238900","2214600","22700","100","6240","3000","3002","1000","3000","1605200","152000","8496","10000-3"
"create_delete1024","1000","31872500","31047500","31016900","26500","200","1574400","3000","3002","1000","3000","1605200","152000","131376","10000-3"
"text256","10000","2402100","1180000","1201100","643300","300","24832","30000","30002","10000","30000","1605200","2240000","600","10000-4"
"records64","10000","22080700","22044400","21203300","322600","500","6240","30000","30002","10000","30000","1605200","1520000","8368","10000-4"
"create_delete64","1000","2283800","2195200","2189000","20200","100","6240","3000","3002","1000","3000","1605200","152000","8496","10000-4"
"create_delete1024","1000","30757100","31052900","30805100","25100","100","1574400","3000","3002","1000","3000","1605200","152000","131376","10000-4"
"text256","10000","2236600","1242100","1221400","499000","200","24832","30000","30002","10000","30000","1605200","2240000","600","10000-5"
"records64","10000","22254300","21681400","21679700","328100","400","6240","30000","30002","10000","30000","1605200","1520000","8368","10000-5"
"create_delete64","1000","2328100","2205800","2216500","28900","0","6240","3000","3002","1000","3000","1605200","152000","8496","10000-5"
"create_delete1024","1000","31166000","30950400","31320900","34300","100","1574400","3000","3002","1000","3000","1605200","152000","131376","10000-5"
