Function,CPU Time,CPU Time:Effective Time,CPU Time:Spin Time,CPU Time:Overhead Time,Module,Function (Full),Source File,Start Address
lux::simulation::script::detail::ScriptExecution::waitEvent,0.396311,0.396311,0.0,0.0,lux_engine_simulation_script.dll,"lux::simulation::script::detail::ScriptExecution::waitEvent(struct lux::simulation::script::ScriptInstanceId,class lux::simulation::script::ScriptEventAdmissionHandle)",ScriptExecution.hpp,0x18008a0a0
luaH_Hgetshortstr,0.219046,0.219046,0.0,0.0,lux_lua55.dll,luaH_Hgetshortstr,ltable.c,0x180023600
lux::simulation::script::detail::ScriptExecution::resumeOne,0.212427,0.212427,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::resumeOne(struct lux::simulation::script::ScriptAwaitableId),ScriptExecution.hpp,0x1800c6620
lux::simulation::script::ScriptBehavior::captureInvocation,0.165581,0.165581,0.0,0.0,lux_engine_simulation_script_cpp_static.dll,lux::simulation::script::ScriptBehavior::captureInvocation,ScriptBackend.hpp,0x18002ffc2
"lux::simulation::script::ScriptCoroutineAwaiter<int,class `auto lux::simulation::script::ScriptCoroutineContext::wait<int>(class lux::simulation::script::CppScriptEventSource<int> const &)'::`2'::<lambda_1> >::await_suspend",0.126799,0.126799,0.0,0.0,native_lua_complete_tasks.exe,"lux::simulation::script::ScriptCoroutineAwaiter<int,class `auto lux::simulation::script::ScriptCoroutineContext::wait<int>(class lux::simulation::script::CppScriptEventSource<int> const &)'::`2'::<lambda_1> >::await_suspend(struct std::coroutine_handle<struct lux::simulation::script::ScriptCoroutine::promise_type>)",ScriptCoroutine.hpp,0x14004e240
lux::simulation::script::detail::operator==,0.119660,0.119660,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::operator==,ScriptExecution.hpp,0x18006c84f
lux::simulation::script::ScriptOwnedResumeValue::operator=,0.119198,0.119198,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::ScriptOwnedResumeValue::operator=(struct lux::simulation::script::ScriptOwnedResumeValue &&),[Unknown],0x180077a60
lux::simulation::script::detail::ScriptExecution::takeAwaitable,0.103923,0.103923,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::takeAwaitable,ScriptExecution.hpp,0x1800c67a8
luaV_execute,0.092297,0.092297,0.0,0.0,lux_lua55.dll,luaV_execute,lvm.c,0x180028680
lux::simulation::script::detail::ScriptEventWaits::Admission::{ctor},0.090615,0.090615,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptEventWaits::Admission::{ctor},ScriptEventWaits.hpp,0x18008a25f
lux::simulation::script::detail::ScriptExecution::awaitableKey,0.090544,0.090544,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::awaitableKey,ScriptExecution.hpp,0x1800887b8
lux::simulation::script::CppStaticScriptBackend::State::resumeCoroutine,0.075914,0.075914,0.0,0.0,lux_engine_simulation_script_cpp_static.dll,"lux::simulation::script::CppStaticScriptBackend::State::resumeCoroutine(void *,struct lux::simulation::script::ScriptStepContext &,struct lux::simulation::script::ScriptResumePacket const &)",CppStaticScriptBridge.cpp,0x180034420
lux::simulation::script::ScriptCoroutineContext::wait<int>,0.075049,0.075049,0.0,0.0,native_lua_complete_tasks.exe,lux::simulation::script::ScriptCoroutineContext::wait<int>(class lux::simulation::script::CppScriptEventSource<int> const &),ScriptCoroutine.hpp,0x14004d230
lux::simulation::script::detail::ScriptExecution::resumeOne::__l2::<lambda_1>::operator(),0.074321,0.074321,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::resumeOne::__l2::<lambda_1>::operator(),ScriptExecution.hpp,0x1800c68d9
lux::simulation::script::detail::ScriptExecution::admitAwaitable,0.060914,0.060914,0.0,0.0,lux_engine_simulation_script.dll,"lux::simulation::script::detail::ScriptExecution::admitAwaitable(struct lux::simulation::script::detail::ScriptExecution::ExecutionInstance &,class std::optional<struct lux::simulation::script::PreparedResumeType>,bool)",ScriptExecution.hpp,0x18008cac0
"lux::simulation::script::LuaScriptBackend::Impl::invokeSyncStep<1,0,1,int>",0.060814,0.060814,0.0,0.0,lux_engine_simulation_script_lua.dll,"lux::simulation::script::LuaScriptBackend::Impl::invokeSyncStep<1,0,1,int>(void *,void const * const *,void *,class lux::simulation::script::ScriptInvocationValidity const &)",LuaScriptBackend.cpp,0x1800212b0
lux::simulation::script::detail::ScriptExecution::ResumeBatch::next,0.060677,0.060677,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::ResumeBatch::next,ScriptExecution.hpp,0x180079f10
lux::simulation::script::detail::ScriptExecution::awaitableKey,0.060049,0.060049,0.0,0.0,lux_engine_simulation_script.dll,lux::simulation::script::detail::ScriptExecution::awaitableKey,ScriptExecution.hpp,0x1800c665e
ccall,0.058655,0.058655,0.0,0.0,lux_lua55.dll,"ccall(struct lua_State *, union StackValue *, int, unsigned int)",ldo.c,0x18000da70
lux::simulation::script::ScriptCoroutine::promise_type::prepareResume,0.045620,0.045620,0.0,0.0,lux_engine_simulation_script_cpp_static.dll,lux::simulation::script::ScriptCoroutine::promise_type::prepareResume(struct lux::simulation::script::ScriptResumePacket const &),ScriptCoroutine.hpp,0x180031be0
lua_checkstack,0.045212,0.045212,0.0,0.0,lux_lua55.dll,lua_checkstack,lapi.c,0x180001090
