comparison,case,median_baseline_ns,median_candidate_ns,median_delta_ns,denominator,operations,baseline_ns_per_operation,candidate_ns_per_operation,median_percent,range_percent,paired_percent,paired_delta_ns
b2-b3,cpp-update,143177500.0,141782200.0,-1325000.0,script_calls,30000000,4.772583333333333,4.726073333333333,-0.8694180083044234,"[-5.645729101365715, -0.3244138193569279]","[-2.959682911071926, -0.8694180083044234, -0.5281489536193895, -5.645729101365715, -0.3244138193569279]","[-4237600.0, -1325000.0, -750900.0, -8483600.0, -463600.0]"
b2-b3,event-fanout,2232700.0,2250700.0,-220400.0,resumes,10000,223.27,225.07,-9.10302491821816,"[-13.083863108607108, 9.672363974729414]","[-9.871456084561292, 9.672363974729414, 5.679307805596467, -13.083863108607108, -9.10302491821816]","[-220400.0, 197500.0, 123400.0, -343700.0, -225400.0]"
b2-b3,flow-event,2998880800.0,3011057700.0,8946000.0,resumes,6000000,499.81346666666667,501.84295,0.2984104489956563,"[-0.49920765623441277, 0.8957433534904302]","[0.8957433534904302, -0.33185824514277984, -0.49920765623441277, 0.2984104489956563, 0.45081485066029714]","[26731900.0, -9974500.0, -15176700.0, 8946000.0, 13519400.0]"
b2-b3,flow-update,282831500.0,282283700.0,-1698900.0,script_calls,30000000,9.427716666666667,9.409456666666667,-0.598240878138312,"[-2.4754668415646774, 7.143232200402605]","[-2.4754668415646774, -1.8684914827754362, 5.124038557866628, 7.143232200402605, -0.598240878138312]","[-7001400.0, -5322000.0, 14167900.0, 19725900.0, -1698900.0]"
b2-b3,lua-event,1987329200.0,1983143800.0,1988700.0,resumes,3000000,662.4430666666667,661.0479333333334,0.09992873790110046,"[-3.9859270046996076, 1.4359171092539702]","[1.4359171092539702, 0.10465048544963107, -3.9859270046996076, -0.11924831502373445, 0.09992873790110046]","[28536400.0, 2073200.0, -81027100.0, -2364600.0, 1988700.0]"
b2-b3,lua-update,79691500.0,79528700.0,-2055700.0,script_calls,3000000,26.563833333333335,26.509566666666668,-2.5197219076195987,"[-7.296675144336973, 3.9661843225257343]","[-0.5775089339469353, -2.5197219076195987, -7.296675144336973, -4.133314092469087, 3.9661843225257343]","[-447000.0, -2055700.0, -6288800.0, -3293900.0, 3075300.0]"
b0-b3,cpp-update,159149600.0,145609800.0,-15449200.0,script_calls,30000000,5.304986666666666,4.85366,-9.665137264568212,"[-11.348190035744487, -5.15832498533344]","[-5.15832498533344, -11.348190035744487, -7.481765584079381, -10.180631474235014, -9.665137264568212]","[-8027700.0, -18639300.0, -11907200.0, -16047200.0, -15449200.0]"
b0-b3,event-fanout,2432000.0,2526300.0,99100.0,resumes,10000,243.2,252.63,3.5666726651070624,"[-11.595394736842103, 26.49433776464796]","[-9.024451726745653, 3.5666726651070624, 26.49433776464796, -11.595394736842103, 18.439356247144232]","[-250600.0, 99100.0, 538100.0, -282000.0, 363200.0]"
b0-b3,flow-event,2627036100.0,2978597300.0,360481600.0,resumes,6000000,437.83935,496.43288333333334,13.721988822308152,"[9.992138198699084, 15.450635704816307]","[13.721988822308152, 9.992138198699084, 12.571708027591555, 15.450635704816307, 14.60375061796313]","[360481600.0, 268658300.0, 332641800.0, 402536200.0, 374509300.0]"
b0-b3,flow-update,292796200.0,282213600.0,-9109100.0,script_calls,30000000,9.759873333333333,9.40712,-3.111071796696818,"[-12.21481036264629, 2.422007125351411]","[-12.21481036264629, -2.883251127611519, -3.111071796696818, -6.866482732757873, 2.422007125351411]","[-37962800.0, -8378500.0, -9109100.0, -20507300.0, 7040300.0]"
b0-b3,lua-event,1878065200.0,1993411700.0,123648000.0,resumes,3000000,626.0217333333334,664.4705666666666,6.657278666132216,"[5.031695672586967, 8.422096744061424]","[8.422096744061424, 7.435077333843365, 5.031695672586967, 6.657278666132216, 5.983953738653214]","[156027200.0, 139635600.0, 94557200.0, 123648000.0, 112549900.0]"
b0-b3,lua-update,77630300.0,77510800.0,1351600.0,script_calls,3000000,25.876766666666665,25.836933333333334,1.741072751232453,"[-5.721024201385894, 10.15537839192946]","[-4.026336507904816, 4.4517112111977175, -5.721024201385894, 1.741072751232453, 10.15537839192946]","[-3227000.0, 3301300.0, -4703500.0, 1351600.0, 7737200.0]"
