comparison,case,median_baseline_ns,median_candidate_ns,median_delta_ns,median_percent,range_percent
e0-e1,cpp-update,145812000.0,142093600.0,-1223800.0,-0.8395284975266204,"[-14.250430300693184, 3.148437714317076]"
e0-e1,event-fanout,2206800.0,2067200.0,-8500.0,-0.42125086728119765,"[-20.766577232656193, 28.751656766972665]"
e0-e1,flow-event,2964913900.0,2909522800.0,-67982000.0,-2.2722573560914228,"[-3.128819028737151, -0.8482241015000835]"
e0-e1,flow-update,278584300.0,277385400.0,-1682000.0,-0.6037669746643992,"[-2.702516790490239, 1.9480925214985456]"
e0-e1,lua-event,1979490300.0,1940361900.0,-36807700.0,-1.8792473657110675,"[-3.9253217341000957, -1.7193137186638507]"
e0-e1,lua-update,76308200.0,77795800.0,1173500.0,1.5216920541351486,"[0.5117405468874958, 4.928978964710984]"
h0-e1,cpp-update,158232100.0,144737300.0,-9440100.0,-6.173179389123284,"[-10.590989748546098, 9.828909531001106]"
h0-e1,event-fanout,2424000.0,2075600.0,-181000.0,-7.809129346794375,"[-33.89819461643746, 0.10127803231252397]"
h0-e1,flow-event,2590867400.0,2881103200.0,287639200.0,11.140207947253744,"[8.39301530168819, 11.827063841632391]"
h0-e1,flow-update,283973100.0,275846000.0,-8948800.0,-3.151284399825194,"[-12.637106069537651, 2.859196041435874]"
h0-e1,lua-event,1861751100.0,1912636500.0,50885400.0,2.733201017042508,"[0.8388586807579257, 6.01854841985292]"
h0-e1,lua-update,79005400.0,77510600.0,-688200.0,-0.8710796983497304,"[-6.694810828940367, 6.52301753840574]"
